Depth (m)	fs (kPa)	qc (MPa)	Ic
1.0	0.151	4.6	19.0
1.1	0.21240000000000003	4.89	19.0
1.2	0.27379999999999993	5.18	19.0
1.3	0.33520000000000005	5.47	19.0
1.4	0.39659999999999995	5.76	19.0
1.5	0.45799999999999996	6.05	19.0
1.6	0.5194000000000001	6.34	19.0
1.7	0.5808	6.63	19.0
1.8	0.6422	6.92	19.0
1.9	0.7036	7.209999999999999	19.0
2.0	0.765	7.5	19.0
2.1	0.6999	6.869999999999999	19.0
2.2	0.6347999999999999	6.239999999999998	19.0
2.3	0.5697000000000001	5.610000000000001	19.0
2.4	0.5046	4.98	19.0
2.5	0.4395	4.35	19.0
2.6	0.37439999999999996	3.7199999999999998	19.0
2.7	0.3092999999999999	3.089999999999999	19.0
2.8	0.24420000000000008	2.460000000000001	19.0
2.9	0.17910000000000004	1.830000000000001	19.0
3.0	0.11399999999999999	1.2000000000000002	19.0
3.1	0.2533000000000001	2.8800000000000017	19.0
3.2	0.39260000000000017	4.560000000000003	19.0
3.3	0.5318999999999997	6.2399999999999975	19.0
3.4	0.6711999999999998	7.919999999999999	19.0
3.5	0.8104999999999999	9.6	19.0
3.6	0.9498	11.280000000000001	19.0
3.7	1.0891000000000002	12.960000000000003	19.0
3.8	1.2283999999999997	14.639999999999997	19.0
3.9	1.3676999999999997	16.32	19.0
4.0	1.507	18.0	19.0
4.1	1.5066	18.54	19.0
4.2	1.5062	19.080000000000002	19.0
4.3	1.5057999999999998	19.619999999999997	19.0
4.4	1.5053999999999998	20.16	19.0
4.5	1.505	20.7	19.0
4.6	1.5046	21.24	19.0
4.7	1.5042	21.78	19.0
4.8	1.5037999999999998	22.319999999999997	19.0
4.9	1.5033999999999998	22.86	19.0
5.0	1.503	23.4	19.0
