Depth (m)	fs (kPa)	qc (MPa)	Ic
1.000	0.151	4.600	19.000
1.100	0.212	4.890	19.000
1.200	0.274	5.180	19.000
1.300	0.335	5.470	19.000
1.400	0.397	5.760	19.000
1.500	0.458	6.050	19.000
1.600	0.519	6.340	19.000
1.700	0.581	6.630	19.000
1.800	0.642	6.920	19.000
1.900	0.704	7.210	19.000
2.000	0.765	7.500	19.000
2.100	0.700	6.870	19.000
2.200	0.635	6.240	19.000
2.300	0.570	5.610	19.000
2.400	0.505	4.980	19.000
2.500	0.439	4.350	19.000
2.600	0.374	3.720	19.000
2.700	0.309	3.090	19.000
2.800	0.244	2.460	19.000
2.900	0.179	1.830	19.000
3.000	0.114	1.200	19.000
3.100	0.253	2.880	19.000
3.200	0.393	4.560	19.000
3.300	0.532	6.240	19.000
3.400	0.671	7.920	19.000
3.500	0.811	9.600	19.000
3.600	0.950	11.280	19.000
3.700	1.089	12.960	19.000
3.800	1.228	14.640	19.000
3.900	1.368	16.320	19.000
4.000	1.507	18.000	19.000
4.100	1.507	18.540	19.000
4.200	1.506	19.080	19.000
4.300	1.506	19.620	19.000
4.400	1.505	20.160	19.000
4.500	1.505	20.700	19.000
4.600	1.505	21.240	19.000
4.700	1.504	21.780	19.000
4.800	1.504	22.320	19.000
4.900	1.503	22.860	19.000
5.000	1.503	23.400	19.000
